"","Health Board","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Total"
"2","Betsi Cadwaladr University Health Board",684575,685911,688417,689924,691180,693067,693360,694826,696284,698369,699559,7615472
"3","Powys Teaching Health Board",133090,132878,133071,133015,132786,132777,132730,132337,132515,132447,132435,1460081
"4","Hywel Dda University Health Board",379051,380195,381867,383399,383833,383927,383129,383656,384239,385615,387284,4216195
"5","Swansea Bay University Health Board",375138,376949,378571,379541,379975,381419,383262,386140,387570,389372,390308,4208245
"6","Cwm Taf Morgannwg University Health Board",430682,431423,432634,434288,435710,437214,438884,441301,443368,445190,448639,4819333
"7","Aneurin Bevan University Health Board",572518,574778,577077,578178,579346,580794,582245,584831,587743,591225,594164,6402899
"8","Cardiff and Vale University Health Board",463818,467837,472121,475722,479582,482838,485476,490059,493446,496413,500490,5307802
